@ACMGuedes_Geo 	  aboutlinux 	  
@ACMGuedes_Geo 	  unixmen 	  Whole  world
@ACMGuedes_Geo 	  addthis 	  DC
@ACMGuedes_Geo 	  petrobras 	  Brasil
@ACMGuedes_Geo 	  HootsuiteMobile 	  
@ACMGuedes_Geo 	  DrielleBezerra1 	  
@ACMGuedes_Geo 	  FeedSPFC 	  BR
@ACMGuedes_Geo 	  CarlosGrohmann 	  Sao Paulo - Brazil
@ACMGuedes_Geo 	  webmapsolutions 	  Salt Lake City
@ACMGuedes_Geo 	  geomaticblog 	  On Earth
@ACMGuedes_Geo 	  flightradar24 	  Stockholm, Sweden
@ACMGuedes_Geo 	  PortalAndroidZ 	  Brasil
@ACMGuedes_Geo 	  BiotaFAPESP 	  Campinas, Brasil
@ACMGuedes_Geo 	  eduol 	  Curitiba, PR, Brasil
@ACMGuedes_Geo 	  EsriEnvironment 	  Global
@ACMGuedes_Geo 	  UpUbuntu 	  
@ACMGuedes_Geo 	  TechLW 	  
@ACMGuedes_Geo 	  finide 	  
@ACMGuedes_Geo 	  onlmaps 	  
@ACMGuedes_Geo 	  EsriCanada 	  Toronto
@ACMGuedes_Geo 	  trimbledata 	  Westminster, CO
@ACMGuedes_Geo 	  meoneogeo 	  16.8083,100.21667
@ACMGuedes_Geo 	  OpenWeatherMap 	  
@ACMGuedes_Geo 	  geoproEA 	  Escola de Arquitetura - UFMG
@ACMGuedes_Geo 	  sandrobatista 	  portugal and around
@ACMGuedes_Geo 	  marcellobenigno 	  Joao Pessoa - PB
@ACMGuedes_Geo 	  TheAtlPhoto 	  
@ACMGuedes_Geo 	  JustinColeGIS 	  43.155353,-77.616012
@ACMGuedes_Geo 	  astroidex 	  Koln
@ACMGuedes_Geo 	  0mgould 	  global
@ACMGuedes_Geo 	  OneLouderApps 	  Kansas City, MO
@ACMGuedes_Geo 	  radiognu 	  
@ACMGuedes_Geo 	  usemoslinux 	  
@ACMGuedes_Geo 	  USGSLandsat 	  Sioux Falls, South Dakota
@ACMGuedes_Geo 	  MappingGIS 	  Valladolid, Spain
@ACMGuedes_Geo 	  canaltech 	  Sao Paulo, Brasil
@ACMGuedes_Geo 	  Stanrley_ 	  Natal/RN
@ACMGuedes_Geo 	  Noteshared 	  Web
@ACMGuedes_Geo 	  universo_geo 	  
@ACMGuedes_Geo 	  GISedu 	  
@ACMGuedes_Geo 	  digitalurban 	  WC1E 7HB
@ACMGuedes_Geo 	  ComparteSig 	  Madrid
@ACMGuedes_Geo 	  fotografiadg 	  
@ACMGuedes_Geo 	  dncpax 	  Cuba, Portugal
@ACMGuedes_Geo 	  deegree_org 	  
@ACMGuedes_Geo 	  openshift 	  Scalably Managing Containers
@ACMGuedes_Geo 	  MartinOuellet 	  Quebec, Canada
@ACMGuedes_Geo 	  geofumadas 	  Honduras
@ACMGuedes_Geo 	  OneGeology 	  
@ACMGuedes_Geo 	  ResearchGate 	  Berlin, Germany
@ACMGuedes_Geo 	  geo_cursos 	  
@ACMGuedes_Geo 	  ana_paulagarcia 	  Brasil
@ACMGuedes_Geo 	  CanGeoEdu 	  Canada
@ACMGuedes_Geo 	  guldalder 	  Malmo, Sweden
@ACMGuedes_Geo 	  CNET 	  San Francisco
@ACMGuedes_Geo 	  breno_mineiro 	  Belo Horizonte / Belem do Para
@ACMGuedes_Geo 	  USGS 	  Reston, VA
@ACMGuedes_Geo 	  seismicupdate 	  Global
@ACMGuedes_Geo 	  NewEarthquake 	  Worldwide
@ACMGuedes_Geo 	  madmanwoo 	  Gold Coast, Queensland
@ACMGuedes_Geo 	  androidcentral 	  Florida
@ACMGuedes_Geo 	  android_brasil 	  Brasil
@ACMGuedes_Geo 	  HotAndroidApps 	  
@ACMGuedes_Geo 	  Tecnoblog 	  Brasil
@ACMGuedes_Geo 	  androidapps 	  42.299759,-71.378296
@ACMGuedes_Geo 	  G1users 	  San Francisco
@ACMGuedes_Geo 	  portal_android 	  Brasil
@ACMGuedes_Geo 	  UOLTecnologia 	  Brasil
@ACMGuedes_Geo 	  linuxfoundation 	  San Francisco, CA
@ACMGuedes_Geo 	  INPE_CPTEC 	  Brasil
@ACMGuedes_Geo 	  linkflorestal 	  Brazil
@ACMGuedes_Geo 	  profissionaisti 	  Brasil
@ACMGuedes_Geo 	  GISdotcom 	  Redlands, California USA
@ACMGuedes_Geo 	  neomapa 	  Mexico
@ACMGuedes_Geo 	  BancodoBrasil 	  Brasilia (DF), Brasil
@ACMGuedes_Geo 	  mapatd 	  Brasil
@ACMGuedes_Geo 	  Geo_and_News 	  Brasil
@ACMGuedes_Geo 	  GISZONE 	  California - USA
@ACMGuedes_Geo 	  geotechnology 	  Colorado
@ACMGuedes_Geo 	  YahooGeo 	  2502265 and 44418
@ACMGuedes_Geo 	  gisuser 	  USA
@ACMGuedes_Geo 	  BrolloMJ 	  Sao Paulo
@ACMGuedes_Geo 	  SIGdeletras 	  Cordoba Espana
@ACMGuedes_Geo 	  geodireito 	  Brasilia, Brazil
@ACMGuedes_Geo 	  uedbn 	  
@ACMGuedes_Geo 	  Topocart 	  Brasil, Angola, Espanha e USA
@ACMGuedes_Geo 	  SkipCody 	  Portland Metro Area (Camas WA)
@ACMGuedes_Geo 	  jcavichiolo 	  Curitiba - Pr
@ACMGuedes_Geo 	  juanchosierrar 	  #Barcelona - #Pereira
@ACMGuedes_Geo 	  oeon 	  San Luis Obispo, CA
@ACMGuedes_Geo 	  Ocean_Networks 	  Victoria, BC, Canada
@ACMGuedes_Geo 	  tempoagora_ 	  Sao Paulo
@ACMGuedes_Geo 	  sexocomleticia 	  
@ACMGuedes_Geo 	  AndroNerd 	  
@ACMGuedes_Geo 	  FeedAndroidBR 	  BR
@ACMGuedes_Geo 	  MAPCITE 	  Worldwide
@ACMGuedes_Geo 	  Superdownloads 	  Sao Paulo, Brasil
@ACMGuedes_Geo 	  andersonbd 	  UT: -15.79608,-47.933721
@ACMGuedes_Geo 	  YouTube 	  San Bruno, CA
@ACMGuedes_Geo 	  instagram 	  
@ACMGuedes_Geo 	  shermange 	  Alaska
@ACMGuedes_Geo 	  SygicOfficial 	  
@ACMGuedes_Geo 	  genilhu 	  BH MG BR
@ACMGuedes_Geo 	  wordpressdotcom 	  All over the world
@ACMGuedes_Geo 	  InovacaoTecnolo 	  Campinas - SP - Brasil
@ACMGuedes_Geo 	  esriportugal 	  Lisboa
@ACMGuedes_Geo 	  inpe_mct 	  Brasil
@ACMGuedes_Geo 	  meugadgetblog 	  Imbe, RS, Brasil
@ACMGuedes_Geo 	  mapwindow_nl 	  Groningen
@ACMGuedes_Geo 	  thegisforum 	  
@ACMGuedes_Geo 	  ppgis 	  Netherlands
@ACMGuedes_Geo 	  debiandicas 	  Brasil
@ACMGuedes_Geo 	  Geoingenio 	  Bogota/Colombia
@ACMGuedes_Geo 	  DIGIBASE_GIS 	  Brazil
@ACMGuedes_Geo 	  Brasgeo 	  
@ACMGuedes_Geo 	  geolivre 	  Brasil
@ACMGuedes_Geo 	  ubuntued 	  Portugal
@ACMGuedes_Geo 	  mrmgeo1_martins 	  
@ACMGuedes_Geo 	  andre_gavlak 	  Brazil
@ACMGuedes_Geo 	  infogps 	  Curitiba - PR
@ACMGuedes_Geo 	  GizmodoBR 	  Sao Paulo, Brasil
@ACMGuedes_Geo 	  AlvaroAnguix 	  Spain
@ACMGuedes_Geo 	  rubiagm 	  Sao Paulo(SP)
@ACMGuedes_Geo 	  SOSGISBr 	  Rio de Janeiro
@ACMGuedes_Geo 	  infomapps 	  
@ACMGuedes_Geo 	  revistasuper 	  Sao Paulo, Brazil
@ACMGuedes_Geo 	  garotasemfio 	  Curitiba
@ACMGuedes_Geo 	  samadeu 	  Sao Paulo
@ACMGuedes_Geo 	  GeoDrops 	  Curitiba,PR, Brasil
@ACMGuedes_Geo 	  Ubuntu_Tweak 	  China
@ACMGuedes_Geo 	  globalgeobrasil 	  BH / RJ
@ACMGuedes_Geo 	  DiarioAndroid 	  Sao Paulo, Brazil
@ACMGuedes_Geo 	  GisCloud 	  
@ACMGuedes_Geo 	  rudigerperes 	  Marselha
@ACMGuedes_Geo 	  clubehardware 	  Brasil
@ACMGuedes_Geo 	  openlayers 	  
@ACMGuedes_Geo 	  blogdoandroid 	  Brasil
@ACMGuedes_Geo 	  MestreAndroid 	  Brasil
@ACMGuedes_Geo 	  GISeTecnologias 	  Piracicaba / SP
@ACMGuedes_Geo 	  GuiaAndroid 	  
@ACMGuedes_Geo 	  planetagnulinux 	  WWW
@ACMGuedes_Geo 	  uol_tecnologia 	  Sao Paulo, Brasil
@ACMGuedes_Geo 	  ENGESAT 	  Curitiba - BRASIL
@ACMGuedes_Geo 	  ubuntugeek 	  London
@ACMGuedes_Geo 	  optimusgis 	  Sao Jose dos Campos
@ACMGuedes_Geo 	  Esri 	  Redlands, CA
@ACMGuedes_Geo 	  ubuntudicas 	  Sao Paulo
@ACMGuedes_Geo 	  osgeoes 	  En todo
@ACMGuedes_Geo 	  UbuntuUserBR 	  Brasil
@ACMGuedes_Geo 	  fulcrumapp 	  
@ACMGuedes_Geo 	  mundroid 	  
@ACMGuedes_Geo 	  BeginnerAndroid 	  Brasil
@ACMGuedes_Geo 	  libreofficebr 	  Brasil
@ACMGuedes_Geo 	  ANAgovbr 	  Brasilia (DF) / Brasil
@ACMGuedes_Geo 	  GeoTux2 	  Suramerica
@ACMGuedes_Geo 	  ArcGIS_Brasil 	  
@ACMGuedes_Geo 	  info_plantao 	  Sao  Paulo
@ACMGuedes_Geo 	  spatialthoughts 	  Bangalore, India
@ACMGuedes_Geo 	  underdarkGIS 	  Vienna, Austria
@ACMGuedes_Geo 	  BlgLaercioMotta 	  PR - Brasil
@ACMGuedes_Geo 	  webmapit 	  Campinas, SP, Brazil
@ACMGuedes_Geo 	  TecDeSoft 	  Campos - RJ
@ACMGuedes_Geo 	  postgis 	  On your Server
@ACMGuedes_Geo 	  mquintairos 	  
@ACMGuedes_Geo 	  cotidianolinux 	  Fortaleza-Ce
@ACMGuedes_Geo 	  olhardigital 	  Brasil
@ACMGuedes_Geo 	  geozine 	  Brasil
@ACMGuedes_Geo 	  ESTEIO 	  Curitiba, Brasil
@ACMGuedes_Geo 	  Amarild0_Juni0r 	  Goiania-Go
@ACMGuedes_Geo 	  procdigital 	  
@ACMGuedes_Geo 	  InfoGeo 	  Brasil/ RJ
@ACMGuedes_Geo 	  Carlos_Morimoto 	  Earth
@ACMGuedes_Geo 	  Tec_Mundo 	  
@ACMGuedes_Geo 	  Infoespacial 	  Espana
@ACMGuedes_Geo 	  ikiMap 	  
@ACMGuedes_Geo 	  georgersilva 	  Uberlandia, Brasil
@ACMGuedes_Geo 	  scoopit 	  San Francisco
@ACMGuedes_Geo 	  geodotnet 	  Brasil
@ACMGuedes_Geo 	  geoluislopes 	  Macapa
@ACMGuedes_Geo 	  gcamara 	  Sao Jose dos Campos Brazil
@ACMGuedes_Geo 	  geoinformacao 	  Dublin City, Ireland
@ACMGuedes_Geo 	  i3geo 	  Brazil
@ACMGuedes_Geo 	  Ocartografo 	  
@ACMGuedes_Geo 	  Imagem_Oficial 	  Brasil
@ACMGuedes_Geo 	  PlanetaUbuntuBR 	  Brasil
@ACMGuedes_Geo 	  MundoGEO 	  Curitiba, PR, Brasil
@ACMGuedes_Geo 	  sadeckgeo 	  Belem PA Amazonia BR
@ACMGuedes_Geo 	  emvolpi 	  Sao Jose do Rio Preto - SP
@ACMGuedes_Geo 	  vivaolinux_ 	  Brasil
@ACMGuedes_Geo 	  ibgecomunica 	  Brasil
@ACMGuedes_Geo 	  PCWorldBrasil 	  Brasil
@ACMGuedes_Geo 	  IDGNow 	  Sao Paulo, Brasil
@ACMGuedes_Geo 	  brasil_ANA 	  Brasilia - DF, Brasil
@ACMGuedes_Geo 	  brlinuxblog 	  
@ACMGuedes_Geo 	  ubuntubrsc 	  Santa Catarina, Brasil
@ACMGuedes_Geo 	  softwarelivre 	  Porto Alegre
@ACMGuedes_Geo 	  GeovaneGeo1 	  Ainda estou me Geolocalizando
@ACMGuedes_Geo 	  rdalaqua 	  americana, sao paulo, brazil
@ACMGuedes_Geo 	  orbemapa 	  Valladolid
@ACMGuedes_Geo 	  coletivodigital 	  Pinheiros, Sao Paulo
@ACMGuedes_Geo 	  revistanatgeobr 	  Brazil
@ACMGuedes_Geo 	  terravisiongeo 	  Nova Lima-MG
@ACMGuedes_Geo 	  opendocument 	  Brasil
@ACMGuedes_Geo 	  abecsp 	  Presidente Prudente - SP
@ACMGuedes_Geo 	  OSGeo 	  Virtual
@ACMGuedes_Geo 	  Geoprospector 	  Brasil
@ACMGuedes_Geo 	  labgis_extensao 	  Universidade do Estado do RJ
@ACMGuedes_Geo 	  NASA 	  
@ACMGuedes_Geo 	  ManfraLtda 	  Curitiba, PR
@ACMGuedes_Geo 	  cartovias 	  Presidente Prudente
@ACMGuedes_Geo 	  EspiritoLivre 	  Brasil
@ACMGuedes_Geo 	  Mundo_dos_Mapas 	  Rio de Janeiro
@ACMGuedes_Geo 	  sazangrg 	  Kathmandu,Nepal
@ACMGuedes_Geo 	  KosmoSIG 	  
@ACMGuedes_Geo 	  camptocamp_geo 	  Switzerland, France, Austria
@ACMGuedes_Geo 	  FaunaliaGIS 	  Italy
@ACMGuedes_Geo 	  todoespaco 	  Boa Esperanca - MG - Brasil
@ACMGuedes_Geo 	  PlanetLabsGer 	  Berlin, Germany
@ACMGuedes_Geo 	  GISLounge 	  
@ACMGuedes_Geo 	  geoworldmedia 	  All Over the World
@ACMGuedes_Geo 	  softwarelivrerj 	  Rio de Janeiro, RJ - Brasil
@ACMGuedes_Geo 	  fossgis 	  Brasil
@ACMGuedes_Geo 	  googleearth 	  
@ACMGuedes_Geo 	  fernandoquadro 	  Florianopolis / Brazil
@ACMGuedes_Geo 	  ClickGeo 	  Campina Grande - PB
@ACMGuedes_Geo 	  amskepler 	  Rio de Janeiro, Brasil
@ACMGuedes_Geo 	  openstreetmap 	  everywhere
@ACMGuedes_Geo 	  gaussgeo 	  Porto Alegre, RS
@ACMGuedes_Geo 	  boundlessgeo 	  New York, NY
@ACMGuedes_Geo 	  INPE_DGI 	  Cachoeira Paulista, SP, Brasil
@ACMGuedes_Geo 	  googlemaps 	  
@ACMGuedes_Geo 	  DigitalGlobe 	  Westminster, CO
@ACMGuedes_Geo 	  qgis 	  worldwide
@ACMGuedes_Geo 	  gvsig 	  
@ACMGuedes_Geo 	  GEOMap_Eng 	  Maceio - AL
@ACMGuedes_Geo 	  edmarmoretti 	  Brasil, Brasilia - DF
@ACMGuedes_Geo 	  andersonmlm 	  Campina Grande/PB
@ACMGuedes_Geo 	  jpsantos2002 	  Brasilia, Brasil
@ACMGuedes_Geo 	  sibbrasil 	  Rio de Janeiro, RJ, Brasil
@AllexandreDM 	  _conectas 	  Sao Paulo - Brazil
@AllexandreDM 	  knightfdn 	  Miami, FL
@AllexandreDM 	  em_com 	  Belo Horizonte
@AllexandreDM 	  aosfatos 	  Brasil
@AllexandreDM 	  thesunjack 	  Placentia, CA
@AllexandreDM 	  bookingcom 	  
@AllexandreDM 	  MadeiraMadeira 	  
@AllexandreDM 	  AWInc1979 	  Moorpark, CA
@AllexandreDM 	  carrefourbrasil 	  Brasil
@AllexandreDM 	  LivCultura 	  Brasil
@AllexandreDM 	  Posthaus 	  Blumenau, SC, Brasil
@AllexandreDM 	  HeavenGiftsCom 	  worldwide
@AllexandreDM 	  virtual_college 	  Yorkshire, UK
@AllexandreDM 	  deewatch_tweets 	  
